length_cm,year,pond,station,month
35.3,2021,NP,NP4,3
37.2,2021,NP,NP4,3
38.1,2021,NP,NP3,3
33.7,2021,NP,NP3,3
41.6,2021,NP,NP3,3
36,2021,NP,NP3,3
40.7,2021,NP,NP3,3
45,2021,NP,NP1,3
38.8,2021,NP,NP1,3
39.6,2021,NP,NP1,3
36.8,2021,NP,NP1,3
30.7,2021,NP,NP1,3
33,2021,NP,NP5,3
35.7,2021,NP,NP5,3
42.1,2021,PP,PP1,3
41.5,2021,NP,NP3,3
35.8,2022,PP,PP1,1
33.3,2021,NP,NP3,3
40.5,2023,NP,NP1,3
36.5,2023,NP,NP3,1
40.5,2023,NP,NP3,1
37.1,2023,NP,NP3,1
41.7,2023,NP,NP5,1
34.3,2023,NP,NP1,1
41.8,2023,NP,NP1,1
39.5,2023,NP,NP1,1
39.8,2023,NP,NP1,1
41.2,2023,NP,NP3,1
30.5,2023,PP,PP3,1
43.4,2023,NP,NP5,1
38.9,2023,NP,NP5,1
36.4,2023,NP,NP5,1
36.3,2023,NP,NP5,1
38.9,2023,NP,NP3,1
41.5,2024,NP,NP3,2
39.4,2024,NP,NP3,1
35.8,2023,NP,NP3,1
38.7,2023,NP,NP3,1
41.6,2024,NP,NP3,1
41.5,2023,NP,NP3,1
40.8,2023,NP,NP3,2
43,2023,NP,NP1,1
38.5,2023,NP,NP1,1
30.8,2023,NP,NP1,1
38,2023,NP,NP3,1
36.6,2023,NP,NP3,1
39.2,2023,NP,NP3,1
30.5,2023,NP,NP3,1
39.6,2023,NP,NP3,1
41,2023,NP,NP5,1
30.9,2023,NP,NP5,1
32.7,2023,NP,NP3,1
38.5,2023,NP,NP1,1
30,2023,NP,NP1,1
40.4,2023,NP,NP1,1
34.4,2023,NP,NP1,1
36.5,2023,NP,NP1,1
39.3,2023,NP,NP5,1
40.9,2023,NP,NP5,1
30.1,2023,NP,NP5,1
36,2023,NP,NP3,1
37.9,2023,NP,NP3,1
34.7,2023,NP,NP3,1
36.7,2023,NP,NP3,1
40,2023,NP,NP3,1
40.2,2023,NP,NP3,1
34.1,2023,NP,NP3,1
40.6,2023,NP,NP3,1
40.1,2023,NP,NP3,1
34.5,2023,NP,NP5,1
29.5,2023,NP,NP5,1
29.4,2023,NP,NP5,1
36.5,2023,NP,NP5,1
33,2023,NP,NP5,1
34,2023,NP,NP3,1
43.7,2023,NP,NP3,1
36.7,2023,NP,NP3,1
39.7,2023,NP,NP7,4
39.2,2023,NP,NP3,1
35.2,2023,NP,NP1,1
37.4,2023,NP,NP1,1
37.6,2023,NP,NP1,1
35.9,2023,NP,NP1,1
44,2023,NP,NP1,1
36.3,2023,NP,NP3,1
42.6,2023,NP,NP3,1
42.2,2023,NP,NP1,2
38.5,2023,NP,NP5,1
36.8,2023,NP,NP5,1
36.2,2023,PP,PP1,1
40.5,2023,NP,NP3,2
40.5,2023,NP,NP3,2
35.9,2023,NP,NP3,2
34,2023,NP,NP3,2
29.8,2023,PP,PP6,2
30.9,2023,PP,PP6,2
31.7,2023,PP,PP6,2
42,2023,PP,PP6,2
36.3,2023,NP,NP3,2
34.8,2023,NP,NP3,2
36.4,2024,NP,NP3,1
40.9,2023,NP,NP5,2
41.3,2023,PP,PP6,2
34.8,2023,PP,PP1,2
34.6,2023,NP,NP3,2
35.8,2023,NP,NP3,2
40.4,2023,NP,NP5,2
32.8,2023,PJ,PJ7,2
41.1,2023,NP,NP1,3
40.5,2023,NP,NP7,3
41,2023,NP,NP7,3
32.9,2023,NP,NP7,3
44,2023,NP,NP7,3
43.5,2023,NP,NP7,3
49.1,2023,NP,NP7,3
40.2,2023,NP,NP7,3
42.9,2023,NP,NP7,3
35.2,2023,NP,NP7,3
33.5,2023,NP,NP7,3
38,2023,NP,NP7,4
44,2023,NP,NP7,4
34,2024,NP,NP3,1
36,2024,NP,NP5,12
36.1,2024,NP,NP5,12
36.4,2024,NP,NP3,12
30.1,2024,NP,NP3,12
38.8,2024,NP,NP3,1
39.8,2024,PP,PP6,1
40.5,2022,NP,NP5,1
41.6,2022,NP,NP5,1
39.7,2022,NP,NP3,2
39.5,2022,NP,NP3,2
35.1,2022,NP,NP3,1
41,2022,NP,NP1,2
42.7,2022,NP,NP3,2
34,2022,NP,NP3,1
38.5,2022,NP,NP5,2
40.7,2022,NP,NP6,2
37.1,2023,NP,NP3,1
35.5,2022,NP,NP3,2
39.9,2022,NP,NP1,2
40.6,2022,NP,NP3,1
40.5,2022,NP,NP1,3
39.7,2022,NP,NP3,2
35.3,2023,NP,NP3,1
40.7,2022,NP,NP5,1
42.5,2022,NP,NP1,2
41.9,2022,NP,NP3,1
36.3,2022,NP,NP6,2
49.6,2022,NP,NP1,2
32.2,2022,NP,NP3,2
42.2,2022,NP,NP1,3
36.9,2022,NP,NP6,2
41.3,2023,NP,NP5,1
39.6,2023,NP,NP3,1
42.3,2023,NP,NP1,1
41.7,2023,NP,NP5,1
36.3,2023,NP,NP7,3
31,2023,NP,NP3,3
36.9,2023,NP,NP1,3
34.1,2022,NP,NP5,1
38.5,2023,NP,NP5,1
45.9,2022,NP,NP1,2
36.5,2023,NP,NP5,2
39.1,2023,NP,NP3,1
42,2023,NP,NP1,2
38.5,2023,NP,NP3,1
40,2023,NP,NP5,1
41.9,2023,NP,NP3,1
45.1,2023,NP,NP1,1
35.6,2023,NP,NP1,1
41.9,2023,NP,NP3,1
43.7,2023,NP,NP1,1
42,2023,NP,NP1,1
43.9,2023,NP,NP3,2
42.6,2023,NP,NP3,1
39.9,2023,NP,NP3,1
33.1,2023,NP,NP1,2
46.4,2023,NP,NP1,2
35.8,2023,NP,NP1,2
38.7,2023,NP,NP5,1
41.5,2023,NP,NP1,2
32,2024,NP,NP3,1
38.9,2024,NP,NP3,12
42.3,2024,NP,NP3,1
35.9,2024,NP,NP5,1
35.3,2024,NP,NP3,1
38.1,2024,NP,NP1,12
40.5,2025,NP,NP1,12
37.8,2023,NP,NP7,3
44.2,2024,NP,NP3,1
42.5,2024,NP,NP1,12
39.2,2024,NP,NP3,12
40,2023,NP,NP7,3
36.4,2024,NP,NP3,12
44.1,2024,NP,NP3,12
37.4,2024,NP,NP5,1
37.9,2024,NP,NP3,1
38.5,2024,NP,NP3,2
37.8,2024,NP,NP3,1
35.4,2024,NP,NP3,1
33.8,2024,NP,NP3,12
31.5,2024,NP,NP5,12
44.2,2024,NP,NP3,1
32,2024,NP,NP3,12
35.6,2024,NP,NP3,1
32.6,2024,NP,NP1,1
42.2,2024,NP,NP3,12
34.2,2024,NP,NP3,1
41.7,2024,NP,NP1,12
34.8,2024,NP,NP5,1
41.3,2024,NP,NP5,1
41.7,2024,NP,NP3,1
33.5,2024,NP,NP1,1
31,2024,NP,NP1,12
38,2012,NP,NP2,3
31.7,2024,NP,NP3,2
31.3,2024,PP,PP1,2
33.6,2024,PP,PP6,2
34.1,2024,PP,PP6,2
44.9,2024,NP,NP1,2
32.7,2024,PP,PP6,2
29.8,2024,NP,NP3,2
38.9,2024,NP,NP7,2
30.5,2024,PP,PP6,2
30.8,2024,PP,PP1,2
30,2024,NP,NP3,2
32.1,2024,PP,PP3,3
29.1,2024,NP,NP1,2
34,2024,NP,NP7,2
28.5,2024,NP,NP3,2
39.6,2024,NP,NP7,2
34.1,2024,NP,NP7,2
36.1,2024,NP,NP7,2
33.9,2024,PP,PP3,2
36.1,2024,NP,NP1,2
29.6,2024,NP,NP3,2
40.1,2024,NP,NP1,3
29.9,2024,PP,PP3,2
32.1,2024,NP,NP1,2
35.1,2024,PP,PP3,2
31.1,2024,PP,PP6,2
31.1,2024,PP,PP6,2
31.6,2024,NP,NP1,2
30.9,2024,PP,PP3,3
31,2024,PP,PP3,3
29.5,2024,NP,NP1,2
33.1,2024,PP,PP6,2
32.8,2024,PP,PP6,2
30.4,2024,PP,PP1,2
30.2,2024,PP,PP6,2
32,2024,NP,NP7,3
36.5,2024,PP,PP1,3
34,2024,NP,NP1,3
40.4,2024,NP,NP1,3
36.5,2024,PP,PP1,4
34.3,2024,NP,NP1,3
31.4,2024,PP,PP3,3
37.5,2024,NP,NP1,4
30.7,2025,NP,NP1,12
44.5,2024,NP,NP1,3
28.5,2024,NP,NP1,3
37.1,2024,NP,NP1,3
35.1,2024,NP,NP1,3
30.3,2025,NP,NP1,12
36,2025,NP,NP1,12
31.5,2025,NP,NP1,12
30.3,2025,NP,NP1,12
32.8,2025,NP,NP1,12
31.1,2025,NP,NP1,12
32.1,2025,NP,NP1,12
37.6,2025,NP,NP3,12
35.8,2025,NP,NP3,12
38.8,2025,NP,NP3,12
33.4,2025,NP,NP3,12
31.8,2025,NP,NP3,12
42,2025,NP,NP5,12
41.1,2025,NP,NP5,12
42.6,2025,NP,NP5,12
36,2025,NP,NP5,12
36.1,2025,NP,NP3,1
35.5,2025,NP,NP5,12
34,2025,NP,NP5,12
31.8,2025,NP,NP5,12
33.9,2025,NP,NP1,12
38.7,2025,NP,NP3,12
39.9,2025,NP,NP3,12
30.5,2025,NP,NP3,12
36.9,2025,NP,NP3,12
37,2025,NP,NP3,1
41.2,2025,NP,NP5,12
40.8,2025,NP,NP3,12
32.1,2025,NP,NP3,12
40.5,2025,NP,NP3,12
35.7,2025,NP,NP3,12
30.2,2025,NP,NP3,12
32.2,2025,NP,NP3,12
35.3,2025,NP,NP3,12
30.9,2025,NP,NP5,12
31,2025,NP,NP5,12
32.6,2025,NP,NP1,12
41.4,2025,PP,PP1,12
31.7,2025,NP,NP3,1
32.8,2025,NP,NP3,1
36.1,2025,NP,NP3,1
40.2,2025,NP,NP3,1
33.6,2025,NP,NP3,1
31.2,2025,NP,NP1,1
30.6,2025,NP,NP1,1
34.1,2025,NP,NP3,1
35.8,2025,NP,NP1,1
35.6,2025,NP,NP3,1
32.2,2025,NP,NP3,1
33.1,2025,NP,NP3,1
41.4,2025,NP,NP3,1
35.7,2025,NP,NP3,1
31.5,2025,NP,NP3,1
44.7,2025,NP,NP3,1
31.4,2025,NP,NP3,1
35.5,2025,NP,NP3,1
41.8,2025,NP,NP3,1
38.3,2025,NP,NP5,1
36.9,2025,NP,NP3,1
32.9,2025,PP,PP3,1
32,2025,PP,PP3,1
33,2024,NP,NP1,1
41.4,2024,NP,NP1,1
41.4,2025,NP,NP1,1
36.2,2025,NP,NP5,1
37,2025,NP,NP1,1
33.6,2025,NP,NP1,1
37,2025,NP,NP3,1
41.5,2025,NP,NP3,1
33.6,2025,NP,NP3,1
38.1,2025,NP,NP5,1
31.5,2025,NP,NP3,1
30,2025,NP,NP3,1
33.1,2025,PP,PP1,1
42.9,2025,NP,NP7,1
32.5,2025,NP,NP7,1
31.5,2025,NP,NP7,1
36.9,2025,NP,NP7,1
31.9,2025,NP,NP7,1
32.6,2025,NP,NP7,1
34.6,2025,NP,NP3,1
31.5,2025,NP,NP3,1
